Protocol,Contract Address,Contract Name
DragonSwap,0x11da6463d6cb5a03411dbf5ab6f6bc3997ac7428,SwapRouter02
DragonSwap,0x179d9a5592bc77050796f7be28058c51ca575df4,DragonswapV2Factory
DragonSwap,0xe30fedd158a2e3b13e9badaeabafc5516e95e8c7,WSEI
DragonSwap,0x71f6b49ae1558357bbb5a6074f1143c46cbca03d,DragonswapFactory
DragonSwap,0x150b4A3088dFB06d92531D1cCa6E980FB9a270e1,Dragonswap DS ERC 20
Dragonswap,0xa4cf2f53d1195addde9e4d3aca54f556895712f2,DragonswapRouter
Magic Eden,0x0000000000000068F116a894984e2DB1123eB395,Seaport
Silo,0xd24972c11f91c1bb9eaee97ec96bb9c33cf7af24,DVN
Silo,0xfd5b6c13abafaab553c1b2fe865f0cf9fe6989e5,FLAGGED
Silo,0xf2a024b29a7db71ec6ca6718a72bfb2a8fb0bf64,DragonswapStaker
Silo,0x773bd3cf2d2e2236d3f836cb200bcb4162e16208,DragonswapStaker
Silo,0xbd00c87850416db0995ef8030b104f875e1bdd15,DVN
Silo,0x5Cf6826140C1C56Ff49C808A1A75407Cd1DF9423,iSEI
Silo,0x8c1014b5936dd88baa5f4db0423c3003615e03a0,StargateStaking
Silo,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LiFiDiamond
Silo,0xe5085112160ff75ee89a540cdba570eafdaf7f57,stSEI
Silo,0xe6889b9698cf32206c6ca6f6f83da1b6e7f12fa0,BalanceRelayer
Silo,0xc56eb3d03c5d7720daf33a3718affb9bcab03fbc,UNKNOWN
Silo,0xa7fdcbe645d6b2b98639ebacbc347e2b575f6f70,Dragonswap V2 Positions NFT-V1
Silo,0x7ccdcfbcfb6b4d6dbb148d5c4b1786eb87a58d43,SimpleStaking
Silo,0xd3bf119cad7c8567e4543dc47fce8db104dd93dd,PartnersRewardDistribution
Silo,0xce8f24a58d85ed5c5a6824f7be1f8d4711a0eb4c,MetaRouter
Silo,0xe1844c5d63a9543023008d332bd3d2e6f1fe1043,ReceiveUln302
Stargate,0xDe48600aA18Ae707f5D57e0FaafEC7C118ABaeb2,FeeLibV1
Stargate,0x45d417612e177672958dc0537c45a8f8d754ac2e,StargatePoolUSDC
Stargate,0x873cfB4bAe1Ab6A5DE753400e9d0616e10Dced22,Treasurer
Stargate,0x0db9afb4c33be43a0a0e396fd1383b4ea97ab10a,StargatePoolMigratable
Stargate,0x1502FA4be69d526124D453619276FacCab275d3D,TokenMessaging
Stargate,0x5c386D85b1B82FD9Db681b9176C8a4248bb6345B,StargateOFT
YEI,0x8138da4417340594aeea4be8fbc7693d9875b6cb,PoolAddressesProviderRegistry
YEI,0x5c57266688a4ad1d3ab61209ebcb967b84227642,PoolAddressesProvider
YEI,0xa1ce28cebab91d8df346d19970e4ee69a6989734,AaveOracle
YEI,0x127201e84ad4ee06ec15104cf083696d6354f8dd,PullRewardsTransferStrategy
YEI,0x4ec5e3f9a32aabd6af62b9a22188f429d65f39c7,CollectorController
YEI,0xbf63c919a8c15f4741e75c232c7be0d0af4d1d05,InitializableAdminUpgradeabilityProxy
YEI,0x69ea2c310a950e58984f4bec4accf2ece391dafd,EmissionManager
YEI,0xd078c43f88fbed47b3ce16dc361606b594c8f305,Pool
YEI,0x800f3e929686ec90eeaabb8b98ed1eff126d532c,Collector
YEI,0x60c82a40c57736a9c692c42e87a8849fb407f0d6,AaveProtocolDataProvider
YEI,0xf8157786e3401a7377becb7af288b84c8ee614e1,InitializableImmutableAdminUpgradeabilityProxy
YEI,0x241995b768c1ae629eb5a6f3749c6e7b8c4d47f2,ACLManager
